id,output,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
100362,0,20.571,-7.567,-3.092,-9.176,-7.137,-1.76,-1.369,-7.753,67.656,73.187,77.633,228.437,2.343,30.231,81.153,2.933,0.81,47,1.756,5.213,52.662,-12.401,-12.287,-8.147,-4.638,2421421738,4.461,3.847,3.168,2.732
100363,0,1.789,18.401,4.495,28.938,54.662,1.104,2.086,18.518,24.356,64.454,109.123,474.157,5.056,17.264,197.222,0.932,0.785,47.041,4.068,26.192,97.402,10.759,10.644,8.991,2.209,992026025,4.254,3.236,4.041,3.075
100364,0,34.606,80.827,8.512,25.03,36.431,6.799,9.895,29.195,30.607,51.369,162.214,96.475,101.431,33.567,77.435,3.332,3.332,55.083,1.252,3.681,29.919,39.349,14.687,9.692,7.741,909360906,2.504,2.233,2.353,2.099
100365,0,-46.969,-7.372,18.793,40.704,27.582,12.12,8.212,38.936,27.599,124.271,137.378,62.361,4.742,59.842,138.429,1.736,1.41,20.954,1.55,3.358,57.559,-10.171,-9.9,-5.329,-3.437,762838255,0.997,0.908,0.688,0.626
100366,0,-24.402,34.745,6.215,17.631,30.263,3.241,5.563,46.938,38.853,218.181,250,58.595,86.924,40.729,575.362,2.031,2.031,38.461,1.917,5.439,86.92,13.425,9.742,6.307,3.289,803102769,1.34,0.893,1.317,0.878
100367,0,37.553,56.413,3.575,22.337,48.138,0.777,1.676,12.636,55.526,50.98,146.053,272.093,207.934,17.24,103.606,0.741,0.735,49.528,4.596,28.715,44.878,-51.399,-28.481,-23.922,-5.204,9207939804,4.525,4.172,4.506,4.154
100368,0,27.969,27.744,5.355,33.158,40.488,2.473,3.02,22.393,27.646,67.176,86.405,488.922,11.077,16.666,65.322,0.104,0.078,15.069,2.164,13.403,59.357,24.732,24.067,20.18,9.322,1061642303,1.548,-1.123,1.517,-1.1
100369,0,255.864,-4.444,6.44,15.367,27.205,3.667,6.493,17.535,50.991,86.437,114.937,104.302,87.548,34.264,201.037,1.807,1.579,46.213,1.755,4.189,35.439,38.034,23.607,13.713,7.809,2905500533,3.768,3.094,3.963,3.254
100370,0,2.221,-21.746,2.061,17.142,38.214,2.651,5.911,28.083,39.036,92.278,94.414,640.701,85.964,12.096,6666.666,6.077,5.801,65.237,0.777,6.464,19.497,-6.362,-5.516,-4.852,-6.243,706561308,7.723,7.482,5.98,5.793
100371,0,-3.984,-12.475,5.127,12.423,24.421,1.63,3.205,21.16,46.021,89.186,138.121,104.449,26.126,43.369,2408.333,1.63,1.422,25.333,3.144,7.618,64.697,40.592,32.27,18.951,6.027,5756840426,1.253,0.707,1.139,0.642
100372,0,85.863,6.741,8.956,31.117,45.77,3.406,5.009,29.078,22.387,94.025,94.129,251.633,26.797,26.424,300.476,1.57,0.744,57.167,2.629,9.135,38.086,12.726,10.073,7.173,2.728,1353992586,5.204,4.707,5.237,4.737
100373,0,34.607,-11.055,4.563,14.762,27.098,1.947,3.574,13.306,39.296,76.514,138.838,226.93,11.864,29.516,975,1.413,1.413,31.517,2.343,7.581,94.904,10.604,9.683,6.689,2.854,1473207178,3.681,2.435,3.566,2.358
100374,0,-28.042,6.991,1.34,3.398,5.81,0.267,0.457,2.716,24.257,147.191,168.125,114.375,2.621,46.083,101.098,0.332,0.065,13.008,5.005,12.693,17.179,39.154,38.509,23.323,4.659,8484269544,3.994,-3.828,2.582,-3.39
100375,0,-14.495,-2.964,2.585,4.752,8.263,2.042,3.551,13.031,29.496,115.231,163.662,70.373,2.087,57.984,262.196,0.938,0.938,11.638,1.265,2.326,31.419,5.457,5.107,2.329,1.84,1602856181,1.623,1.129,1.479,1.029
100376,0,37.905,11.877,15.417,47.961,58.992,6.385,7.854,34.166,36.965,119.248,122.549,190.425,6.963,33.626,838.202,1.021,0.957,28.357,2.414,7.51,81.942,23.888,22.891,15.532,6.433,2315529925,1.465,1.364,1.438,1.339
100377,0,-9.783,-22.149,3.404,11.103,22.075,2.928,5.822,18.87,35.36,81.236,154.954,186.256,26.178,32.006,116.443,1.987,1.011,18.81,1.162,3.791,30.84,10.987,9.526,6.605,5.683,1014126521,1.943,1.632,2.069,1.737
100378,0,301.543,10.945,0.05,0.199,10.384,0.224,11.659,41.6,60.285,31.358,45.352,195.409,271.856,17.628,209.15,13.34,13.22,52.515,0.227,0.89,12.176,121.127,50.683,37.753,70.428,537747771,27.385,26.211,23.69,22.674
100379,0,7.758,1.402,8.975,16.942,25.046,6.362,9.405,55.737,21.485,112.582,177.483,52.43,34.375,53.531,400,2.904,2.904,39.591,1.41,2.662,37.658,62.676,36.929,17.365,12.309,155339934,2.13,1.35,2.151,1.363
100380,0,-7.096,1.104,0.872,1.017,2.356,0.854,1.978,8.809,48.058,233.333,424.726,13.728,2.231,86.236,597.826,0.506,0.506,4.949,1.02,1.19,20.538,31.916,27.617,3.942,3.862,3035838381,1.047,0.893,1.081,0.922
100381,0,246.948,47.544,5.231,18.134,35.751,2.478,4.886,22.044,35.342,205.447,223.735,121.8,228.436,22.21,283.606,1.699,1.628,52.421,2.11,7.316,61.285,-11,-4.621,-3.288,-1.558,499032907,5.533,4.455,5.659,4.556
100382,0,0.678,12.685,8.547,32.091,48.654,3.93,5.958,57.598,22.371,196.768,240.035,99.286,138.68,29.588,1525,2.053,1.47,60.126,2.174,8.165,49.241,3.137,1.202,0.882,0.405,882316854,2.632,1.933,2.462,1.807
100383,0,-22.127,39.07,9.979,33.38,54.137,2.394,3.884,22.235,32.456,81.843,94.085,148.065,1.018,40.147,540.476,1.046,0.945,33.932,4.166,13.938,43.438,12.635,12.559,8.805,2.113,1612784495,1.577,1.045,1.525,1.011
100384,0,-19.799,-22.765,0.509,6.145,41.061,0.408,2.73,19.652,29.315,127.13,156.76,607.317,347.696,9.478,231.884,3.027,1.987,60.878,1.247,15.039,23.998,14.878,9.648,8.848,7.095,1578371955,10.627,4.542,9.08,3.881
100385,0,-1.185,-27.197,1.674,3.932,10.008,1.39,3.539,15.774,36.487,132.926,159.756,129.246,2.101,43.224,803.539,2.465,2.402,43.149,1.203,2.827,37.062,0.682,0.662,0.38,0.316,577236393,7.402,6.74,6.705,6.105
100386,0,2.894,-5.156,0.613,5.387,59.932,0.55,6.125,25.947,31.571,41.109,64.552,580.921,190.789,11.471,51.673,4.06,4.06,49.132,1.113,9.784,26.206,2.348,1.642,1.455,1.307,458738585,5.425,4.791,6.575,5.808
