Date,Open,High,Low,Close,Adj Close,Volume
2017-08-25,18900.0,19150.0,18800.0,18850.0,18850.0,57026
2017-08-28,18900.0,19100.0,18900.0,18900.0,18900.0,49205
2017-08-29,18900.0,19050.0,18800.0,18850.0,18850.0,53877
2017-08-30,19050.0,19150.0,18800.0,18850.0,18850.0,66449
2017-08-31,18850.0,18950.0,18700.0,18950.0,18950.0,49259
2017-09-01,19000.0,19100.0,18800.0,18950.0,18950.0,54519
2017-09-04,18450.0,18650.0,18400.0,18500.0,18500.0,78529
2017-09-05,18550.0,18650.0,18300.0,18350.0,18350.0,66489
2017-09-06,18300.0,18600.0,18250.0,18600.0,18600.0,44800
2017-09-07,18700.0,18800.0,18350.0,18450.0,18450.0,67382
2017-09-08,18500.0,18600.0,18150.0,18300.0,18300.0,66927
2017-09-11,18450.0,18600.0,18200.0,18550.0,18550.0,61321
2017-09-12,18550.0,18650.0,18400.0,18400.0,18400.0,42138
2017-09-13,18600.0,18600.0,18250.0,18300.0,18300.0,68336
2017-09-14,18300.0,18450.0,18150.0,18350.0,18350.0,99933
2017-09-15,18300.0,19350.0,18250.0,19350.0,19350.0,352119
2017-09-18,19350.0,20300.0,19350.0,19900.0,19900.0,431550
2017-09-19,19900.0,19900.0,19300.0,19600.0,19600.0,158551
2017-09-20,19600.0,20800.0,19500.0,20100.0,20100.0,511955
2017-09-21,20500.0,20800.0,19400.0,19550.0,19550.0,304480
2017-09-25,19500.0,19500.0,18550.0,18600.0,18600.0,350942
2017-09-26,18600.0,18600.0,18600.0,18600.0,18600.0,0
2017-09-27,18700.0,19100.0,18700.0,19100.0,19100.0,85733
2017-09-28,18900.0,19400.0,18600.0,18750.0,18750.0,94527
2017-09-29,18750.0,19000.0,18450.0,18700.0,18700.0,115268
2017-10-02,18700.0,18700.0,18700.0,18700.0,18700.0,0
2017-10-10,18700.0,24300.0,18700.0,23800.0,23800.0,4179976
2017-10-11,24000.0,28800.0,23800.0,25500.0,25500.0,7915445
2017-10-12,26300.0,33000.0,26050.0,31500.0,31500.0,10069845
2017-10-13,32400.0,39250.0,32200.0,34050.0,34050.0,11075461
2017-10-16,34800.0,34800.0,32400.0,33650.0,33650.0,940048
2017-10-17,33250.0,35050.0,33250.0,34350.0,34350.0,1066391
2017-10-18,35200.0,35400.0,33600.0,35150.0,35150.0,1077191
2017-10-19,37350.0,38150.0,31750.0,32500.0,32500.0,2888853
2017-10-20,32100.0,33500.0,30000.0,31950.0,31950.0,2398764
2017-10-23,31200.0,32100.0,30050.0,30350.0,30350.0,1162265
2017-10-24,30400.0,31300.0,28700.0,31250.0,31250.0,2517641
2017-10-25,30650.0,30700.0,29700.0,30100.0,30100.0,813162
2017-10-26,29850.0,31900.0,29150.0,30050.0,30050.0,1238860
2017-10-27,30550.0,32200.0,29900.0,32000.0,32000.0,1261313
2017-10-30,31150.0,31450.0,30000.0,30000.0,30000.0,1085939
2017-10-31,30300.0,34400.0,29500.0,33500.0,33500.0,3454651
2017-11-01,33900.0,35500.0,32750.0,33100.0,33100.0,1820124
2017-11-02,34000.0,34500.0,32550.0,33300.0,33300.0,1018293
2017-11-03,33950.0,34900.0,33200.0,33200.0,33200.0,1369710
2017-11-06,33550.0,33950.0,32200.0,33050.0,33050.0,577575
